1053.54	6772.08
1043.91	6741.15
1025.16	6692.20
1006.30	6640.14
980.09	6574.98
964.23	6539.09
950.86	6507.44
929.45	6462.44
891.92	6384.41
832.11	6276.15
832.03	6275.99
821.95	6251.62
819.36	6250.00
782.25	6180.92
639.35	5908.50
639.35	5908.50
529.30	5702.09
504.68	5655.55
504.68	5655.55
414.26	5493.14
414.26	5493.14
298.30	5259.71
298.30	5259.71
271.44	5205.63
271.90	5202.62
260.64	5174.04
227.35	5087.00
223.60	5075.62
223.61	5075.65
197.98	4993.70
177.31	4918.43
157.72	4644.73
130.36	4428.40
116.95	4329.30
105.43	4213.76
18.77	3609.76
20.14	3019.81
39.67	2809.79
65.96	2719.78
89.56	2660.41
452.89	2281.01
468.44	2254.10
474.30	2242.62
632.54	1808.29
659.03	1737.19
695.25	1647.59
721.17	1571.92
731.39	1514.15
744.48	1440.19
751.09	1380.44
754.56	1327.87
763.72	1275.58
775.88	1219.16
791.70	1178.58
838.48	1076.44
923.93	947.02
923.96	946.98
937.74	927.67
954.10	909.18
954.24	909.03
982.92	879.62
983.07	879.47
1023.11	842.24
1071.66	806.91
1163.31	751.48
1217.24	724.41
1227.60	720.02
1278.93	695.08
1358.82	658.81
1406.97	637.98
1429.39	625.75
1446.68	614.02
1466.91	596.00
1480.75	579.66
1490.58	565.46
1498.54	546.89
1503.93	527.72
1507.93	508.26
1509.64	488.18
1508.17	462.41
1503.15	438.68
1491.42	412.65
1476.48	389.19
1476.01	388.57
1407.11	311.07
