236348361	28
5580.09	4109.36
5507.94	4101.56
5440.47	4093.77
5376.07	4085.79
5314.40	4077.25
5256.47	4068.57
5186.38	4057.34
5125.67	4046.88
5062.70	4035.53
3618.22	3762.62
3586.82	3755.84
3554.77	3748.09
3523.32	3739.33
3493.69	3729.80
3465.11	3719.97
3438.49	3710.18
3413.73	3700.38
3390.39	3690.19
3367.22	3679.37
3341.60	3666.72
3318.13	3654.49
3296.08	3642.27
3274.21	3629.56
3250.44	3615.21
3226.99	3600.22
3203.38	3584.19
3181.21	3568.49
2702.21	3218.39
236348360#0	5
2702.21	3218.39
2685.23	3205.00
2669.02	3191.36
2652.53	3176.58
2636.98	3161.88
236348360#1	10
2636.98	3161.88
2622.07	3147.08
2608.58	3133.13
2591.96	3115.41
2576.01	3097.39
2561.17	3079.65
2548.04	3063.17
2535.51	3046.43
2523.14	3029.43
2389.50	2846.83
236348360#2	2
2385.10	2846.29
2366.94	2824.08
236348364#0	2
2366.94	2824.08
2323.68	2773.40
236348364#1	2
2323.68	2773.40
2309.76	2757.09
11415208	2
2309.76	2757.09
2198.64	2621.58
23874736	2
2198.64	2621.58
2160.89	2578.67
394443191	2
2156.28	2576.05
281.40	339.02
