372924399#0	5
3678.24	-0.00
3673.52	14.20
3666.01	35.19
3660.93	49.42
3656.17	64.11
372924399#1	2
3656.17	64.11
3654.91	68.38
372924399#2	2
3654.91	68.38
3653.84	72.05
372924399#3	4
3653.84	72.05
3651.22	80.95
3639.60	115.73
3615.24	193.60
372924399#4	2
3615.24	193.60
3613.78	197.86
372924399#5	3
3613.78	197.86
3611.12	206.67
3578.23	309.40
372924399#6	2
3578.23	309.40
3576.84	314.57
372924399#7	3
3576.73	314.93
3571.41	330.07
3557.77	372.06
30989127#0	3
3555.30	374.42
3551.75	386.16
3545.61	402.65
30989127#1	3
3545.60	402.66
3526.33	460.72
3499.30	501.24
65583216#0	4
3499.30	501.24
3463.15	555.59
3457.32	564.36
3441.51	588.12
65583216#1	3
3441.51	588.12
3438.28	592.96
3424.82	612.39
130347317#0	4
3424.82	612.40
3421.97	616.67
3416.38	625.94
3404.57	649.88
130347317#1	2
3404.32	650.44
3402.36	655.28
130347317#2	3
3402.12	655.80
3397.16	664.88
3395.09	668.77
130347317#3	2
3394.79	669.27
3356.42	724.62
130347317#4	2
3356.27	724.83
3353.40	728.53
130347317#5	5
3353.40	728.53
3349.58	733.45
3329.07	762.26
3310.81	790.19
3275.30	839.65
130347317#6	2
3275.29	839.65
3272.78	843.34
130347317#7	3
3272.55	843.69
3270.67	846.77
3243.58	890.78
130347317#8	2
3243.57	890.79
3241.20	894.73
130347317#9	7
3241.21	894.72
3239.25	897.94
3236.58	902.25
3224.77	922.74
3212.89	949.54
3204.89	968.95
3185.59	1015.72
130347317#10	2
3185.59	1015.73
3183.67	1020.80
130347317#11	2
3183.67	1020.80
3174.83	1044.29
130347319	2
3174.63	1044.87
3165.08	1077.47
30989136	3
3164.28	1080.36
3148.71	1141.37
3135.75	1210.48
251211066	2
3135.69	1210.87
3134.08	1226.23
173419300	26
3135.43	1229.38
3126.92	1323.29
3125.36	1332.37
3122.85	1342.88
3119.68	1353.41
3114.56	1368.25
3109.46	1378.17
3104.23	1386.95
3097.89	1394.73
3089.82	1403.33
3081.40	1409.76
3070.05	1417.43
3050.36	1428.35
3036.03	1434.75
3026.28	1438.89
3015.53	1443.52
3005.79	1447.96
2991.05	1452.18
2977.12	1454.51
2964.05	1456.45
2763.08	1472.78
2724.57	1476.59
2703.53	1479.95
2680.15	1484.89
2370.95	1610.15
1979.29	1758.79
252028893	3
1975.96	1758.24
1841.93	1804.93
1761.88	1837.10
422049769	2
1759.89	1839.77
1732.43	1852.62
173419316	9
1732.17	1852.75
1721.93	1858.30
1702.84	1871.51
1693.28	1876.50
1683.37	1879.09
1671.18	1880.63
1654.29	1879.95
1627.45	1874.68
1487.91	1877.22
173419311	2
1484.92	1875.70
1424.70	1879.63
176407075	12
1424.74	1879.62
1343.01	1883.04
1328.01	1882.33
1313.96	1878.52
1209.13	1836.28
919.67	1711.10
902.99	1704.74
862.74	1700.21
845.42	1699.43
808.04	1691.82
736.53	1659.90
679.01	1628.18
194996847	11
678.67	1628.01
590.98	1588.18
512.64	1545.63
496.63	1538.19
187.97	1405.39
70.41	1354.71
59.59	1346.48
47.97	1334.33
12.59	1273.02
7.18	1261.86
1.48	1250.11
