100655411	4
1327.02	180.46
1355.93	255.69
1371.72	290.64
1384.91	315.16
22328500	2
1387.60	318.72
1419.52	349.69
22328499	19
1420.17	352.76
1448.99	385.19
1461.33	401.89
1470.95	417.70
1481.62	441.47
1487.27	465.48
1489.21	485.69
1487.97	505.79
1484.28	524.88
1475.11	550.14
1465.63	566.94
1456.15	578.51
1446.53	587.51
1423.67	605.87
1385.71	625.76
1339.69	645.18
1288.45	663.97
1236.88	682.29
1179.86	708.52
4881656	7
1179.44	708.74
1157.16	721.74
1115.96	743.45
1106.47	748.46
1069.04	774.61
1023.96	817.28
970.83	869.86
4937319	2
970.82	869.87
941.77	900.04
4937318	3
941.80	900.01
919.21	922.29
897.89	949.82
129662536	27
897.84	949.89
805.70	1083.95
792.67	1119.56
781.04	1151.44
758.10	1226.22
737.90	1304.03
727.39	1390.69
718.16	1444.48
708.18	1500.00
696.64	1564.20
610.11	1800.30
453.20	2234.65
436.25	2269.97
72.83	2649.46
43.09	2712.20
16.54	2805.58
2.57	3019.12
-1.65	3609.34
37.61	3858.09
85.25	4207.80
97.58	4332.27
130.90	4615.73
137.72	4720.10
157.17	4919.25
169.08	4960.96
181.67	5011.00
226.46	5143.33
4384688	4
226.47	5143.38
230.77	5157.85
246.08	5196.38
272.48	5264.22
55691860	4
275.12	5266.20
318.48	5360.04
392.76	5502.57
530.65	5763.89
4383362	2
530.65	5763.89
814.34	6286.34
4383363	14
814.28	6289.74
856.52	6370.93
881.41	6423.61
919.78	6509.43
970.76	6632.01
987.79	6677.42
1007.89	6731.43
1032.88	6803.98
1070.01	6921.41
1112.05	7074.59
1143.15	7186.13
1151.57	7214.94
1200.72	7390.95
1252.94	7570.21
