161493573	25
130.95	1974.69
145.22	1959.56
157.06	1948.21
171.01	1936.14
183.90	1925.75
199.33	1914.29
216.88	1901.82
231.25	1892.67
245.35	1883.60
259.01	1875.10
274.54	1865.93
289.88	1857.15
300.11	1850.40
310.02	1842.82
317.81	1835.36
325.61	1826.89
332.68	1817.82
339.38	1807.50
345.14	1796.82
349.92	1784.68
353.92	1772.98
356.73	1761.02
359.06	1748.05
360.20	1735.04
361.25	1667.06
59766629	2
361.25	1667.05
359.85	1523.36
59766617	2
359.85	1523.38
359.97	1436.45
59766616	2
359.98	1436.44
358.15	1221.28
59766615	2
358.15	1221.28
357.06	1093.05
59766608	2
357.06	1093.05
353.19	696.60
59766570	16
353.19	696.61
353.14	686.66
352.88	672.52
352.30	658.45
351.18	644.37
349.69	630.60
347.89	617.20
345.53	602.56
342.54	587.14
339.29	573.32
335.29	558.83
331.24	545.50
326.93	532.74
322.32	520.37
318.05	510.26
314.01	500.42
59766528	5
313.99	500.38
309.25	490.12
303.61	478.91
298.22	468.54
290.93	455.41
399402797	10
290.92	455.40
179.29	265.81
172.38	254.09
164.97	241.06
158.31	228.92
152.14	217.18
146.21	205.07
139.90	191.59
134.57	179.37
128.74	165.15
396959337	5
128.75	165.16
124.13	153.72
119.63	142.87
115.02	130.91
111.21	119.84
59766456	9
108.78	117.63
104.89	104.25
101.01	89.04
97.39	74.05
94.01	59.46
91.16	44.55
88.59	27.89
86.43	11.17
85.24	-0.00
