-27050852	4
863.91	547.54
915.82	556.20
958.40	563.30
990.68	568.69
26938354	5
1008.80	570.53
1009.69	570.39
1065.69	579.36
1133.67	584.89
1136.65	585.20
85644944	2
1146.28	586.40
1196.70	593.63
87297166	2
1196.67	593.63
1341.68	616.79
26938250	3
1341.66	616.79
1874.63	706.47
1919.70	714.05
8921173	5
1919.85	714.08
1933.37	716.90
1957.47	723.63
1997.46	734.87
1999.45	736.05
-87376660#2	2
2015.62	738.73
2053.61	745.91
-87376660#1	2
2059.55	746.96
2112.49	755.80
-87376660#0	2
2118.63	756.82
2144.38	761.00
-87376695	3
2160.27	763.59
2226.22	774.31
2289.90	784.57
-87376682	2
2295.99	785.57
2305.59	787.18
